Marca temporal,¿Cuál es su sexo?,¿Qué edad tiene? ,¿Cuál es su peso? (Ingrese el valor entero en kg ),¿Cuál es su estatura? (Ingrese el valor en cm),¿Qué carrera está estudiando?,¿En qué ciclo académico se encuentra actualmente?,¿En cuántos créditos se ha matriculado este ciclo ?,¿En cuántos cursos se ha matriculado este ciclo?,"¿Cuántas horas a la semana dedica a estudiar, sin contar las horas de clase? (Ingresa el valor en número de horas)",¿Tiene conocimiento sobre la quinua?,¿Consume quinua?,¿A qué factor se debe su no consumo de quinua?,¿Con qué frecuencia consumes quinua?,¿Qué tipo de quinua sueles consumir?,¿Cuál es la principal razón por la que consumes quinua?,¿Dónde sueles comprar la quinua que consumes?,¿Qué tan informado/a estás sobre los beneficios nutricionales de la quinua?,¿Cúal consideras que es el principal beneficio de consumir quinua?,¿Qué prioridad o relevancia le das al consumo de la quinua en comparación con otros alimentos?,¿Consideras que el consumo de quinua puede tener alguna relacion con tu desempeño en los estudios?,¿Cuál es la relación que tiene el consumo de quinua con respecto a los estudios?,¿Cuál es el impacto que tiene la quinua en su salud?,¿Cúal sería su opinión respecto al consumo de quinua?,Puntuación
15/09/2023 12:16:04,Masculino,19,62,170,Ingeniería Civil,5,24,6,8,Si,Sí,,5,Blanca,Por salud,Carretillas,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 12:24:47,Masculino,21,55,160,Ingeniería ambiental,5,21,6,10,Si,Sí,,3,Blanca,Por salud,Mercado,2,Ayuda a prevenir enfermedades,4,4,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 12:28:00,Masculino,19,61,170,Ingeniería Civil,5,24,6,8,No,No,No me gusta el sabor,,,,,,En ideal cuando se hace deporte,,,,,,
15/09/2023 12:34:33,Masculino,23,54,165,Bioingeniería ,5,18,5,4,Si,Sí,,4,Blanca,Por tradicion,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 12:39:38,Femenino,20,60,154,Ingeniería Química,5,20,6,30,Si,Sí,,3,Blanca,Por tradicion,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 12:43:41,Femenino,19,50,154,Ingeniería Ambiental ,5,15,5,6,Si,Sí,,2,Blanca,Por sabor,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Disminuye el cansancio,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 12:53:25,Femenino,20,60,160,Ingeniería Ambiental ,5,21,6,10,Si,Sí,,3,Blanca,Por tradicion,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,4,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 13:19:19,Femenino,18,80,165,Ingeniería ambiental,5,20,6,12,Si,Sí,,4,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",5,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Disminuye el cansancio,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 13:20:25,Masculino,19,60,170,Ingeniería Civil,5,23,6,8,Si,Sí,,2,Blanca,Por salud,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,2,Me siento mas satisfecho en apetito,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 13:21:07,Femenino,19,55,150,Ingeniería ambiental ,4,22,7,2,Si,Sí,,3,Blanca,Por sabor,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
